Temperature,Humidity,Power
35.01328593,1.62060306,360.8171913
25.90873032,57.8479175,213.7345037
10.46032995,64.60978362,257.8579404
19.1796833,36.10856363,56.5223175
35.23437948,14.92037029,250.8205971
11.73715617,44.38275987,355.1624617
10.28814417,64.26132888,181.6780323
27.98954914,35.98628419,41.30484747
32.22201235,57.93062391,15.27462046
46.78111161,24.9353787,545.4766329
35.53905852,31.22526528,112.1605236
37.40353734,39.15036033,333.7238253
11.83388198,21.79068396,53.64591931
9.038584414,17.74637269,246.15657
16.53688086,53.76157584,16.44934203
0.659042193,38.78172128,61.57159565
11.40564585,59.49230366,647.8692087
1.042491232,63.02012718,394.7760936
23.59060453,31.55024908,106.755082
30.19016114,44.15476358,178.0329159
29.82026905,38.6367798,79.74805152
33.14384506,31.34166803,21.71789379
9.051306438,18.02415101,3.871337066
33.92305111,17.29238311,594.5738372
4.94102727,33.06196264,447.6906228
3.797410025,60.96635313,91.87644231
44.72696919,41.8449365,905.5087479
29.16727796,16.26142262,447.0615741
9.388832621,62.16682445,149.051462
33.76015409,43.93656786,16.10946547
26.548317,22.3150506,89.27208215
24.12960171,31.78262061,629.2322255
15.86705079,37.2991035,382.0719626
49.23931169,37.93604465,74.61627634
13.52258359,49.12218576,32.55703151
28.62125518,45.94719819,553.4736551
36.40121582,53.85580888,13.79697649
21.93085307,51.41422215,247.7246123
30.29702957,37.17949479,13.3722288
36.58687095,22.83230939,4.437513465
11.7479374,27.89511184,62.42865743
39.51251812,58.89776466,202.4087133
40.97851379,18.46931319,323.2309916
19.81463369,32.32477558,190.0177252
34.96546459,50.3508467,135.1867142
15.59267772,41.27028651,824.7116156
47.36054656,44.37454446,200.5896511
9.404241866,45.52863602,147.3983976
40.01081746,32.83942939,120.6152629
7.37277691,38.32262509,403.468622
36.22585644,22.57152543,22.97727801
15.34369539,41.46751963,224.9263904
30.30642438,47.53118413,797.1031397
16.29480385,13.40495375,604.1226199
15.98880228,30.02879147,132.1267927
29.43291681,39.50408846,489.7741276
43.11487581,37.46478322,239.3048844
17.10311273,11.20924179,288.207166
2.334199926,57.66448986,209.6165892
40.66243933,18.46716639,188.9141902
23.96741905,25.18068412,66.57405606
4.606040257,54.70776895,601.439747
44.13010827,24.93116001,235.2161102
11.971023,37.67489326,256.5783697
9.572406101,60.0497759,337.5636636
2.822782765,17.22121773,268.8827385
34.93437722,31.28892283,252.3044911
47.47198496,27.61017232,588.0068289
7.7039406,37.01946442,254.2717103
1.000590483,41.49102179,0.081764647
12.63746827,36.01790691,56.31259962
37.71232256,64.92562499,65.44402246
0.143494112,51.79644437,97.68090411
11.55776189,51.28637807,660.2049541
21.90817191,26.0775117,218.7951535
18.00536647,39.28613457,2.65043902
48.26341834,46.26595047,10.95879077
0.480120377,16.30252062,31.99850139
22.14793361,36.71913601,793.4638775
21.32247484,25.40859148,21.07302645
22.30241997,34.18982328,5.180200502
34.70028595,59.41311757,717.5713576
32.76996485,46.88309031,149.7887844
22.0392805,51.54800456,194.5775955
27.35870824,35.60615159,82.79435426
3.293447806,46.65680697,257.8617052
31.08386377,57.58432607,5.89879783
40.53053983,30.88678287,262.9652206
47.98653776,56.41714918,307.6216685
15.98393787,48.14493342,60.84949528
5.286314073,45.25557755,903.4066216
4.743937639,13.98798505,52.83042084
21.94537203,48.05419563,545.3043725
43.63073013,56.24206745,82.77223488
32.88619724,50.69244828,797.312848
6.594016523,22.68228406,435.6560837
6.660651282,45.47992423,905.5004947
31.38989376,61.39997994,141.8801051
13.8327074,26.20673631,0.520042276
11.89282947,22.81298679,943.3819497
47.63880574,60.66001045,49.49973494
35.25511219,30.65330487,416.6269236
21.18613332,46.78831432,101.0250314
27.06400978,26.42936506,259.2033
4.565642052,12.48660233,325.9832641
46.7457957,21.01571212,961.5508086
48.86541989,16.91800222,382.6105953
46.0321775,51.0143761,141.8873454
16.58686968,41.61210378,17.93061796
42.75724853,63.47617591,169.0444037
8.396050152,52.32940613,243.3344878
33.75095902,14.41909856,134.9901359
17.23240368,62.96197211,50.73360921
7.914945449,16.98367647,127.573602
6.248775144,15.47738581,153.6196684
4.225027723,57.95900114,196.1135748
42.13352674,11.39163182,103.9391638
24.58111267,48.62467144,962.340157
27.32070171,23.99656173,848.4366794
3.945549427,11.81224448,501.7626867
33.48494095,46.45745724,123.5639548
20.15884513,35.8104276,134.8203335
25.1450873,10.99444828,260.5579119
7.356142628,26.80851738,34.14397791
14.70058623,35.02564756,543.781264
13.39319487,34.52928025,537.1719851
45.13204975,23.9648424,468.9230691
8.993965763,57.57129568,148.0996411
42.76518448,25.31989185,543.7378305
22.50842296,44.72902554,163.9000628
6.425060308,31.88643393,554.8796491
31.60728169,57.1075289,382.4400156
12.45700054,39.58989468,98.7943831
11.14614579,49.41507015,269.428625
29.86292184,24.31425108,783.2867878
1.227616595,34.48796454,275.2965515
32.61997217,59.66935956,69.08935725
29.47239669,47.29482609,145.2333909
6.96960224,55.79180021,220.9069883
11.09941199,25.47275873,43.95949384
40.39919498,39.1074816,71.30968085
40.18345635,14.27614963,105.2960096
0.480150701,11.5736866,340.4927744
23.43334002,60.31237488,629.980487
9.74833721,17.18999535,88.08311049
1.245343167,33.1373048,7.801112096
40.07868974,31.90375806,559.2206371
4.325455845,17.34456177,286.7627507
36.69595161,63.74575608,445.4389393
1.400770301,26.12578613,380.113078
33.74676978,51.93015973,722.1679659
49.056868,15.22227928,267.8808063
